Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
1988,Wes Unseld   Player / Coach / Exec / CBB player,984,10.8,14,3.9,0.509,0.5,0.633,110.1,0.147,C,1,0,1968,1981,12,5,1,1,1,1,1,NA,1,0,0,1,0,10624,13769,3822,0,1,11.1,12,4,4,0,0
2012,Chet Walker   Player / CBB player,1032,18.2,7.1,2.1,0.47,,0.796,117.4,0.168,SF,1,0,1962,1975,13,7,2,1,NA,0,0,NA,0,NA,0,0,0,18831,7314,2126,0,1,14.5,13,1,6,0,0
1993,Bill Walton   Player / CBB player,468,13.3,10.5,3.4,0.521,0,0.66,39.3,0.142,C,1,0,1974,1987,10,2,3,2,1,1,0,NA,2,2,0,1,0,6215,4923,1590,1,1,10.2,4,3,3,0,0
1980,Jerry West   Player / Coach / Exec / Oly / CBB player,932,27,5.8,6.7,0.474,,0.814,162.6,0.213,PG,1,0,1960,1974,14,14,1,1,NA,0,0,NA,12,NA,1,0,1,25192,5366,6238,0,1,17.1,13,9,11,1,1
2015,Jo Jo White   Player / CBB player,837,17.2,4,4.9,0.444,0.167,0.834,54,0.087,PG,1,0,1969,1981,12,7,3,2,1,0,0,NA,2,0,0,0,0,14399,3345,4095,0,1,8,6,2,5,0,0
1989,Lenny Wilkens   Player / Coach / Exec / CBB player,1077,16.5,4.7,6.7,0.432,,0.774,95.5,0.12,PG,1,0,1960,1975,15,9,4,0,NA,0,0,NA,0,NA,0,0,1,17772,5030,7211,0,1,10.1,7,1,5,0,0
2012,Jamaal Wilkes   Player / CBB player,828,17.7,6.2,2.5,0.499,0.135,0.759,71.3,0.125,PF,1,0,1974,1986,12,3,3,3,0,0,1,NA,0,2,0,0,0,14644,5117,2050,1,1,10,10,5,6,0,0
2006,Dominique Wilkins   Player / CBB player,1074,24.8,6.7,2.5,0.461,0.319,0.811,117.5,0.148,SF,1,0,1982,1999,15,9,5,0,0,0,0,0,7,0,1,0,0,26668,7169,2677,0,1,12.2,10,0,0,0,0
2003,James Worthy   Player / CBB player,926,17.6,5.1,3,0.521,0.241,0.769,81.2,0.13,SF,1,0,1982,1994,12,7,1,3,1,0,0,0,2,0,0,0,0,16320,4708,2791,1,1,10.6,9,6,7,0,0
,Jeff Hornacek,1077,14.5,3.4,4.9,0.496,0.403,0.877,108.9,0.154,SG,0,0,1986,2000,14,1,3,0,0,0,0,0,0,0,0,0,0,15659,3646,5281,0,0,11.6,11,2,6,0,0
